Name,Anzahl,Aussaat,pikiert,ID,wie?,wo?,🥕 Sorten
116,4,24. April 2025,,115,Anzucht,Quickpot 24,Mertus F1 (https://www.notion.so/Mertus-F1-1844cafc0cfe8090b429f639a446bc6e?pvs=21)
122,22,27. April 2025,,121,Anzucht,Quickpot 28,Autumn Star F1 (https://www.notion.so/Autumn-Star-F1-1854cafc0cfe80a284d1c23c934c9b40?pvs=21)
115,4,24. April 2025,,112,Anzucht,Quickpot 24,Adrian F1 (https://www.notion.so/Adrian-F1-1844cafc0cfe80e0bd7ae375445b047c?pvs=21)
120,77,27. April 2025,,118,Anzucht,Quickpot 77,Tondo di Chioggia (https://www.notion.so/Tondo-di-Chioggia-1784cafc0cfe80c1891efec0c3db3924?pvs=21)
113,4,24. April 2025,,114,Anzucht,Quickpot 24,Paska F1 (https://www.notion.so/Paska-F1-1844cafc0cfe80d3bf91ef2da45451d9?pvs=21)
126,35,27. April 2025,,122,Anzucht,Quickpot 35R,Eersteling (https://www.notion.so/Eersteling-1844cafc0cfe80f582b2e5c4e46545e9?pvs=21)
112,4,24. April 2025,,117,Anzucht,Quickpot 24,Bella F1 (https://www.notion.so/Bella-F1-1844cafc0cfe80e5bb0ecd1779db7090?pvs=21)
124,77,27. April 2025,,120,Anzucht,Quickpot 77,Osborne (https://www.notion.so/Osborne-1874cafc0cfe80faa2bfc84d28b62622?pvs=21)
121,77,27. April 2025,,119,Anzucht,Quickpot 77,Lech F1 (https://www.notion.so/Lech-F1-1834cafc0cfe8068b967f4706be67c87?pvs=21)
128,12,2. Mai 2025,,134,Anzucht,Quickpot 24,Tanja (https://www.notion.so/Tanja-1844cafc0cfe80b4a7b6f65b970788b2?pvs=21)
127,70,27. April 2025,,124,Anzucht,Quickpot 77,Goldvital (https://www.notion.so/Goldvital-1854cafc0cfe80a7974dd10d2a71dd36?pvs=21)
133,12,2. Mai 2025,,131,Anzucht,Quickpot 24,Malachita (https://www.notion.so/Malachita-1854cafc0cfe805c8e18e864def7c1ce?pvs=21)
131,12,2. Mai 2025,,130,Anzucht,Quickpot 24,Alberello (https://www.notion.so/Alberello-1854cafc0cfe8096a3a7e8fb13ffcf95?pvs=21)
129,11,2. Mai 2025,,132,Anzucht,Quickpot 24,Mertus F1 (https://www.notion.so/Mertus-F1-1844cafc0cfe8090b429f639a446bc6e?pvs=21)
125,6,27. April 2025,,123,Anzucht,Torfquelltöpfe,Okra (https://www.notion.so/Okra-1e24cafc0cfe80fcbdbeda406a03f9ea?pvs=21)
118,77,27. April 2025,,125,Anzucht,Quickpot 77,Saragossa (https://www.notion.so/Saragossa-1824cafc0cfe80b7b8a7d784f78ad47f?pvs=21)
123,77,27. April 2025,,127,Anzucht,Quickpot 77,cima di Rapa Quarantina (https://www.notion.so/cima-di-Rapa-Quarantina-1854cafc0cfe80b2bee0dd707e2c4a62?pvs=21)
134,10,2. Mai 2025,,129,Anzucht,Quickpot 24,Terminator F1 (https://www.notion.so/Terminator-F1-1854cafc0cfe8072a671e7510a5bdedb?pvs=21)
130,12,2. Mai 2025,,133,Anzucht,Quickpot 24,Solara (https://www.notion.so/Solara-1854cafc0cfe80d9a573c786497757ee?pvs=21)
119,77,27. April 2025,,126,Anzucht,Quickpot 77,Lucinde (https://www.notion.so/Lucinde-1784cafc0cfe801ab06ef5fce1239be5?pvs=21)
135,12,2. Mai 2025,,128,Anzucht,Quickpot 24,Grise D’alger dite Blanche (https://www.notion.so/Grise-D-alger-dite-Blanche-1854cafc0cfe807aaa8dddcdf0b7b805?pvs=21)
137,3,3. Mai 2025,,139,Freiland,,Sora (https://www.notion.so/Sora-17a4cafc0cfe80aead1ed507a27b5d03?pvs=21)
143,77,5. Mai 2025,,140,Anzucht,Quickpot 77,Atlantis F1 (https://www.notion.so/Atlantis-F1-1844cafc0cfe8020ab98d2efc8dabb09?pvs=21)
146,,5. Mai 2025,,142,Anzucht,Quickpot 28,Roter Zentner (https://www.notion.so/Roter-Zentner-1854cafc0cfe80e88e56f5a9f85acc06?pvs=21)
132,14,2. Mai 2025,,135,Anzucht,Quickpot 24,Inizia (https://www.notion.so/Inizia-1854cafc0cfe8031bb5be36463a9748e?pvs=21)
149,,5. Mai 2025,,145,Anzucht,Quickpot 28,Sugar Baby (https://www.notion.so/Sugar-Baby-1ea4cafc0cfe80179140f9875368c2f5?pvs=21)
147,,5. Mai 2025,,144,Anzucht,Quickpot 28,Longue De Nice (https://www.notion.so/Longue-De-Nice-1854cafc0cfe80e89925dc472d390c3b?pvs=21)
138,2,3. Mai 2025,,137,Freiland,,Romance F1 (https://www.notion.so/Romance-F1-17d4cafc0cfe8049954fff402a5be055?pvs=21)
139,1,3. Mai 2025,,136,Freiland,,Weiße Küttiger (https://www.notion.so/Wei-e-K-ttiger-17d4cafc0cfe805587bbf848d36a15ec?pvs=21)
136,5,3. Mai 2025,,138,Freiland,,Jannis (https://www.notion.so/Jannis-1794cafc0cfe80698f45c583f7cac442?pvs=21)
145,,5. Mai 2025,,141,Anzucht,Quickpot 28,Waltham (https://www.notion.so/Waltham-1854cafc0cfe8060ae30c96589a28a5d?pvs=21)
141,77,5. Mai 2025,,143,Anzucht,Quickpot 77,Lucullus (https://www.notion.so/Lucullus-1874cafc0cfe805cb56cfacb88e52ee7?pvs=21)
142,35,5. Mai 2025,,147,Anzucht,Quickpot 35R,Superschmelz (https://www.notion.so/Superschmelz-1834cafc0cfe8031a571c9ebb936593c?pvs=21)
140,35,5. Mai 2025,,148,Anzucht,Quickpot 35R,Westländer Winter (https://www.notion.so/Westl-nder-Winter-1844cafc0cfe80f0bc59cbf977f490b8?pvs=21)
144,,5. Mai 2025,,146,Anzucht,Quickpot 28,Solor (https://www.notion.so/Solor-1854cafc0cfe80a9b820e504abbe5c4c?pvs=21)
148,,5. Mai 2025,,149,Anzucht,Quickpot 28,Custard White (https://www.notion.so/Custard-White-1854cafc0cfe803bb18edf1533b35cea?pvs=21)
160,20,15. Mai 2025,,158,Anzucht,Quickpot 28,Marketmore (https://www.notion.so/Marketmore-1844cafc0cfe8020ab9dc9938a8d12f2?pvs=21)
153,14,15. Mai 2025,,154,Anzucht,Quickpot 28,Solor (https://www.notion.so/Solor-1854cafc0cfe80a9b820e504abbe5c4c?pvs=21)
151,77,7. Mai 2025,,151,Anzucht,Quickpot 77,Wintersonne (https://www.notion.so/Wintersonne-1794cafc0cfe8059944df638e2efca6c?pvs=21)
154,14,15. Mai 2025,,157,Anzucht,Quickpot 28,Waltham (https://www.notion.so/Waltham-1854cafc0cfe8060ae30c96589a28a5d?pvs=21)
157,7,15. Mai 2025,,155,Anzucht,Quickpot 28,Roter Zentner (https://www.notion.so/Roter-Zentner-1854cafc0cfe80e88e56f5a9f85acc06?pvs=21)
152,77,15. Mai 2025,,156,Anzucht,Quickpot 77,Azur Star (https://www.notion.so/Azur-Star-1834cafc0cfe8033bc2dd69b5a365306?pvs=21)
159,2,15. Mai 2025,,153,Anzucht,Quickpot 28,Tanja (https://www.notion.so/Tanja-1844cafc0cfe80b4a7b6f65b970788b2?pvs=21)
155,8,15. Mai 2025,,160,Anzucht,Quickpot 28,Custard White (https://www.notion.so/Custard-White-1854cafc0cfe803bb18edf1533b35cea?pvs=21)
158,6,15. Mai 2025,,152,Anzucht,Quickpot 28,Adrian F1 (https://www.notion.so/Adrian-F1-1844cafc0cfe80e0bd7ae375445b047c?pvs=21)
156,12,15. Mai 2025,,159,Anzucht,Quickpot 28,Longue De Nice (https://www.notion.so/Longue-De-Nice-1854cafc0cfe80e89925dc472d390c3b?pvs=21)
150,77,7. Mai 2025,,150,Anzucht,Quickpot 77,Krischan (https://www.notion.so/Krischan-1824cafc0cfe803eb2cddc36985a57ea?pvs=21)
174,77,22. Juni 2025,,172,Anzucht,Quickpot 77,Palla Rossa 2 (https://www.notion.so/Palla-Rossa-2-1824cafc0cfe802bb0f5cc31c92dad76?pvs=21)
166,1,24. Mai 2025,,167,Freiland,,Ronka (https://www.notion.so/Ronka-17d4cafc0cfe80f596c3caa1dd1c032d?pvs=21)
170,77,,,173,Anzucht,Quickpot 77,Rasko (https://www.notion.so/Rasko-1834cafc0cfe801082a4ed85a0f2df18?pvs=21)
165,1,24. Mai 2025,,164,Freiland,,Oxhella (https://www.notion.so/Oxhella-17d4cafc0cfe80a781dbc7bf08535b68?pvs=21)
167,1,24. Mai 2025,,166,Freiland,,Gelbe Gochsheimer (https://www.notion.so/Gelbe-Gochsheimer-17d4cafc0cfe80cabe1eeccc5b70dc36?pvs=21)
,,,,171,,,
173,77,22. Juni 2025,,169,Anzucht,Quickpot 77,Wallone (Frisee) (https://www.notion.so/Wallone-Frisee-1854cafc0cfe8008b627e359aee7139e?pvs=21)
172,77,22. Juni 2025,,170,Anzucht,Quickpot 77,Valmain (https://www.notion.so/Valmain-1824cafc0cfe8050a8eae58dc7c1bcc4?pvs=21)
163,2,19. Mai 2025,,162,Freiland,,Foniro (https://www.notion.so/Foniro-1794cafc0cfe80dca834f2bf2d9ee7ed?pvs=21)
,,,,168,,,
162,1,19. Mai 2025,,161,Freiland,,Rex (https://www.notion.so/Rex-1da4cafc0cfe805a9b68d55efd69b10b?pvs=21)
164,1,24. Mai 2025,,165,Freiland,,Dolciva (https://www.notion.so/Dolciva-17d4cafc0cfe807fa454d770e1e12dd4?pvs=21)
161,1,19. Mai 2025,,163,Freiland,,Sora (https://www.notion.so/Sora-17a4cafc0cfe80aead1ed507a27b5d03?pvs=21)
176,77,22. Juni 2025,,176,Anzucht,Quickpot 77,Yorokobi (https://www.notion.so/Yorokobi-1844cafc0cfe80fe80b5f1465ce2e180?pvs=21)
175,77,22. Juni 2025,,175,Anzucht,Quickpot 77,Bilko F1 (https://www.notion.so/Bilko-F1-1844cafc0cfe80a0b25deb9e23c8d6dd?pvs=21)
171,77,,,174,Anzucht,Quickpot 77,Lollo Rossa (https://www.notion.so/Lollo-Rossa-1784cafc0cfe805f92b6e3d422aad41d?pvs=21)
