Name,Anzucht,Art,Bestand,Einheit,Kategorie,URL
Marketmore,15. April 2025 → 15. Mai 2025,Bauern,"9,7",g,Gurken,https://www.dehner.de/de/de/product/dehner-samen-salatgurke-marketmore-M500000139/?sku=620906&em_src=kw&em_cmp=google/nonbrand/PLA-DE/Pflanzen/Blumenzwiebeln_Saatgut/Gemuesesamen/CSS_620906&gad_source=1&gclid=Cj0KCQiA7se8BhCAARIsAKnF3rxs86XYL-_uplALM-sZZ35fsVbwXbxZeJzsI_27CS1HilTVN3uSY7EaAp8wEALw_wcB
Smaragd,1. Februar 2025 → 31. Mai 2025,Wirsing,"1,43",g,Kohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/wirsing/smaragd-g213
Atlantis F1,1. März 2025 → 30. Juni 2025,,50,K,Brokkoli,Dehner
Atlantis F1,1. März 2025 → 30. Juni 2025,,100,K,Brokkoli,Garten Magie
Erfurter,15. Februar 2025 → 15. April 2025,,50,K,Blumenkohl,https://www.dehner.de/de/de/product/dehner-samen-blumenkohl-erfurter-zwerg-X000621201/?sku=621201&em_src=kw&em_cmp=google/nonbrand/PLA-DE/Pflanzen/Blumenzwiebeln_Saatgut/Gemuesesamen/CSS_621201&gad_source=1&gclid=Cj0KCQiA7se8BhCAARIsAKnF3ryKeOWiCa5AYuqE_SRscn_ekX9QljQkkODv0Oga6XBqDwMScFsaUHMaAkuCEALw_wcB
Wilhelmsburger,1. März 2025 → 15. Juni 2025,Steck,"1,41",g,Kohl,https://www.kiepenkerl.de/kohlruebensamen-wilhelmsburger-1011050/
Tabiro,1. Juni 2025 → 15. Juni 2025,,30,K,Blumenkohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/blumenkohl/tabiro-g203
Daniel,1. Februar 2025 → 31. März 2025,,30,K,Blumenkohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/blumenkohl/daniel-g700
Langedijker Dauer,1. März 2025 → 30. April 2025,weiß,"0,66",g,Kohl,https://www.quedlinburger-saatgut.de/saatgut/artikel/weisskohl-langedijker-dauer-433044.html
Agassi F1,1. März 2025 → 30. Juni 2025,,0,K,Brokkoli,https://saatgut-dillmann.de/produkt/brokkoli-agassi-f1/
Holsteiner Platter,1. Februar 2025 → 10. Mai 2025,weiß,"1,36",g,Kohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/weisskohl/holsteiner-platter-g216
Helena,15. Februar 2025 → 15. April 2025,Schlange,0,K,Gurken,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/gurken/salatgurken/helena-g172
Mertus F1,1. März 2025 → 15. April 2025,Schlange,0,K,Gurken,https://saatgut-dillmann.de/produkt/gurke-mertus-f1-maxituete/
Calabrese natalino,1. April 2025 → 30. Juni 2025,,150,K,Brokkoli,Grüner Jan
Idemar,15. März 2025 → 30. April 2025,Rosen,1,g,Kohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/rosenkohl/idemar-g609
Cleopha,15. Februar 2025 → 15. April 2025,Schlange,4,K,Gurken,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/gurken/salatgurken/cleopha-g714
Dottenfelder Dauer,1. Februar 2025 → 10. Mai 2025,weiß,"1,15",g,Kohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/weisskohl/dottenfelder-dauer-g219
Yuki F1,1. Juni 2025 → 31. Juli 2025,China,30,K,Kohl,https://www.austrosaat.at/shop/Chinakohl-Yuki-F1-
Bilko F1,1. Juni 2025 → 30. Juni 2025,China,0,K,Kohl,https://samen-fetzer.de/chinakohl-bilko-f1/91200
Groninger,1. April 2025 → 31. Mai 2025,Rosen,150,K,Kohl,https://www.quedlinburger-saatgut.de/saatgut/artikel/rosenkohl-groninger-428478.html
