Name,Anzucht,Art,Bestand,Einheit,Kategorie,URL
Mars,10. Februar 2025 → 20. März 2025,,0,K,Sellerie,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/sellerie/knollensellerie/mars-g404
Longue De Nice,20. April 2025 → 20. Mai 2025,Butternut,20,K,Kürbis,Sanrival
Osborne,1. März 2025 → 15. Juni 2025,Petersilienwurzel,"0,75",g,Kräuter,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/petersilienwurzel/osborne-g701
Kulaures,15. Januar 2025 → 15. Februar 2025,Sommer,,K,Lauch,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/porreelauch/kulaures-g733
Roter Augsburger,15. Februar 2025 → 31. März 2025,spitz,7,K,Paprika,https://www.kiepenkerl.de/spitz-paprikasamen-roter-augsburger-1031720/?utm_medium=cpc&utm_source=google&utm_campaign=kk_sea_pmax&utm_content=kiepenkerl&utm_term=&gad_source=1&gclid=Cj0KCQiAwtu9BhC8ARIsAI9JHakeIbNfFEHY97vTeXCs0N7w14Fjl-AfWS1EZUykZFdB07DwjZtlVFsaAmGKEALw_wcB
Feher,15. Februar 2025 → 31. März 2025,spitz,,K,Paprika,Dehner
Bendigo F1,1. Februar 2025 → 31. März 2025,block,7,K,Paprika,https://www.kiepenkerl.de/block-paprikasamen-blocky-mischung-f1-1032600/
,,,,,Tomate,
Paradeisfrüchtig Frührot,1. Februar 2025 → 31. März 2025,block,50,K,Paprika,https://www.austrosaat.at/shop/Paprika-Paradeisfruechtig-Fruehrot-#
,,,,,Aubergine,
Nantaise 2/Topfix,1. März 2025 → 30. Juni 2025,90-110 d,1000,K,Möhren,https://www.dehner.de/de/de/product/dehner-samen-moehre-nantaise-2topfix-M500000152/
Fiesta F1,15. Februar 2025 → 31. März 2025,block gelb,15,K,Paprika,https://www.dehner.de/de/de/product/dehner-premium-samen-gemuesepaprika-fiesta-X000218214/?sku=218214
,,,,,Möhren,
Matador,1. März 2025 → 15. April 2025,,,,Spinat,
Blocky Mischung,1. Februar 2025 → 31. März 2025,bunt,7,K,Paprika,https://www.kiepenkerl.de/block-paprikasamen-blocky-mischung-f1-1032600/?_gl=1*ahfb8p*_up*MQ..*_gs*MQ..&gclid=Cj0KCQiAwtu9BhC8ARIsAI9JHakeIbNfFEHY97vTeXCs0N7w14Fjl-AfWS1EZUykZFdB07DwjZtlVFsaAmGKEALw_wcB
Austrocapi,1. Februar 2025 → 31. März 2025,spitz,50,K,Paprika,https://www.austrosaat.at/Sortiment/Gemuesesaatgut/Fruchtgemuese/Paprika/Austrocapi/Austrocapi.htm
President,1. März 2025 → 31. März 2025,,50,K,Sellerie,https://saatgut-dillmann.de/produkt/sellerie-president/
Ischikrona,1. März 2025 → 15. Juli 2025,Lauchzwiebel,,g,Zwiebel,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/lauchzwiebeln/ischikrona-g466
Ratio,15. Februar 2025 → 15. April 2025,Dicke,,,Bohne,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/bohnen/dicke-bohne/ratio-g672
Eiszapfen,15. März 2025 → 31. Juli 2025,lang,,,Radies,https://caipi.de/products/horti-tops-radieschen-samen-eiszapfen?tw_source=google&tw_adid=743196765522&tw_campaign=22400276635&tw_kwdid=pla-293946777986&gad_source=1&gbraid=0AAAAA-n5GoRj-ZYzN96QDnenkSJWHW_tC&gclid=CjwKCAjwk43ABhBIEiwAvvMEB8WyNizXhYtV-yN3sWHmvTbQh08HKxeDtVYxkCUfgBAvPNb7y689ZRoCQgAQAvD_BwE
Rex,1. Februar 2025 → 31. Juli 2025,,,,Rettich,https://www.dehner.de/de/de/product/dehner-samen-rettich-rex-M500000161/
Rote Kugel 2,1. April 2025 → 5. Juli 2025,rund,,,Rote Beete,https://www.kiepenkerl.de/rote-betesamen-rote-kugel-2-1011000/
Bavaria,1. März 2025 → 31. Mai 2025,,,,Lauch,https://www.kiepenkerl.de/porreesamen-bavaria-1051000/?utm_medium=cpc&utm_source=google&utm_campaign=kk_sea_pmax&utm_content=kiepenkerl&utm_term=&gad_source=1&gbraid=0AAAAAD5QBtRgF9nh71lWplINr9QJN2w-7&gclid=Cj0KCQjw2ZfABhDBARIsAHFTxGy3dL8tnQrixxe-tRXispnSObja1tZe6KIhXWEsG0XHzW4Ngm7Wuc8aAi0WEALw_wcB
Mailänder,,,,,Mairübe,
Helda,8. Mai 2025 → 30. Juni 2025,Stangen,,,Bohne,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/bohnen/stangenbohne/helda-g622
Golden Gate,8. Mai 2025 → 30. Juni 2025,Stangen,,,Bohne,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/bohnen/stangenbohne/golden-gate-g723
Sugar Baby,15. April 2025 → 30. April 2025,Wasser,,,Melone,https://www.quedlinburger-saatgut.de/saatgut/artikel/wassermelonen-wassermelonen-sugar-baby-447202.html
Neckarkönigin,8. Mai 2025 → 30. Juni 2025,Stangen,,,Bohne,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/bohnen/stangenbohne/neckarkoenigin-g136
Okra,,,,,Okra,
